"","msa_id","fipsstatecode","state_abb","year","ever_smoke","current_smoker","stop_smoking","N","metrodivisioncode","csacode","cbsatitle","metropolitanmicropolitanstatis","metropolitandivisiontitle","csatitle","countycountyequivalent","statename","fipscountycode","centraloutlyingcounty","abb","year_change_per","tax_change_dose","numtaxinc","tax_change1113","year_around","treat","tax_change","X.x","pop1990","pop2000","unemp1990","unemp2000","unemp2010","cig_sales_pc2000","anti1992","anti1995","anti1998","cig_sales_pc1990","cig_sales_pc2010","log_cigsales90","log_cigsales00","log_cigsales10","log_pop90","log_pop00","change90to00","change00to10","log_change_sales","log_change_sales00to10","per_barban00","per_barban05","per_barban10","msa_pop10","msa_pop00","log_msapop00","log_msapop10","cigtax","cbsaunp10","wage_index","X","factor98","current_smoker98","ever_smoke98","factor01","current_smoker01","ever_smoke01","change_cursmk","change_evrsmk"
"265",30780,5,"AR",2018,0.418541854185419,13.6813681368137,0.592105263157895,1111,NA,340,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area","","Little Rock-North Little Rock, AR","Faulkner County","Arkansas",45,"Outlying",NA,0,NA,NA,0,0,0,0,4,2350624,2673400,6.9,4.3,8.2,99.4,-0.1902,-0.1044,-0.0116,113.1,63.2,4.72827238312207,4.59915211366253,4.14630430115281,14.6701913827879,14.7988616285195,13.7,36.2,2.61739583283408,3.58905911883173,93.0263746088511,100,100,699757,610518,13.3220630561277,13.4584884109004,1.15,5.1948051948052,0.884,100,-0.354383399330168,0.204545454545455,0.431818181818182,-0.0880412290582492,0.168674698795181,0.385542168674699,0.0358707557502738,0.046276013143483
"266",30780,5,"AR",2016,0.440350877192982,14.9122807017544,0.647058823529412,1140,NA,340,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area","","Little Rock-North Little Rock, AR","Faulkner County","Arkansas",45,"Outlying",NA,0,NA,NA,0,0,0,0,4,2350624,2673400,6.9,4.3,8.2,99.4,-0.1902,-0.1044,-0.0116,113.1,63.2,4.72827238312207,4.59915211366253,4.14630430115281,14.6701913827879,14.7988616285195,13.7,36.2,2.61739583283408,3.58905911883173,93.0263746088511,100,100,699757,610518,13.3220630561277,13.4584884109004,1.15,5.1948051948052,0.884,100,-0.354383399330168,0.204545454545455,0.431818181818182,-0.0880412290582492,0.168674698795181,0.385542168674699,0.0358707557502738,0.046276013143483
"267",30780,5,"AR",2017,0.438297872340426,14.5531914893617,0.674556213017751,1175,NA,340,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area","","Little Rock-North Little Rock, AR","Faulkner County","Arkansas",45,"Outlying",NA,0,NA,NA,0,0,0,0,4,2350624,2673400,6.9,4.3,8.2,99.4,-0.1902,-0.1044,-0.0116,113.1,63.2,4.72827238312207,4.59915211366253,4.14630430115281,14.6701913827879,14.7988616285195,13.7,36.2,2.61739583283408,3.58905911883173,93.0263746088511,100,100,699757,610518,13.3220630561277,13.4584884109004,1.15,5.1948051948052,0.884,100,-0.354383399330168,0.204545454545455,0.431818181818182,-0.0880412290582492,0.168674698795181,0.385542168674699,0.0358707557502738,0.046276013143483
"268",30780,5,"AR",2015,0.449367088607595,16.003616636528,0.615819209039548,1106,NA,340,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area","","Little Rock-North Little Rock, AR","Faulkner County","Arkansas",45,"Outlying",NA,0,NA,NA,0,0,0,0,4,2350624,2673400,6.9,4.3,8.2,99.4,-0.1902,-0.1044,-0.0116,113.1,63.2,4.72827238312207,4.59915211366253,4.14630430115281,14.6701913827879,14.7988616285195,13.7,36.2,2.61739583283408,3.58905911883173,89.1707644166294,95.8553580009611,94.4444444444444,699757,610518,13.3220630561277,13.4584884109004,1.15,5.1948051948052,0.884,100,-0.354383399330168,0.204545454545455,0.431818181818182,-0.0880412290582492,0.168674698795181,0.385542168674699,0.0358707557502738,0.046276013143483
"269",30780,5,"AR",2020,0.431910569105691,15.0406504065041,0.527027027027027,984,NA,340,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area","","Little Rock-North Little Rock, AR","Faulkner County","Arkansas",45,"Outlying",NA,0,NA,NA,0,0,0,0,4,2350624,2673400,6.9,4.3,8.2,99.4,-0.1902,-0.1044,-0.0116,113.1,63.2,4.72827238312207,4.59915211366253,4.14630430115281,14.6701913827879,14.7988616285195,13.7,36.2,2.61739583283408,3.58905911883173,93.0263746088511,100,100,699757,610518,13.3220630561277,13.4584884109004,NA,5.1948051948052,0.884,100,-0.354383399330168,0.204545454545455,0.431818181818182,-0.0880412290582492,0.168674698795181,0.385542168674699,0.0358707557502738,0.046276013143483
"270",30780,5,"AR",2019,0.443897637795276,14.3700787401575,0.589041095890411,1016,NA,340,"Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area","","Little Rock-North Little Rock, AR","Faulkner County","Arkansas",45,"Outlying",NA,0,NA,NA,0,0,0,0,4,2350624,2673400,6.9,4.3,8.2,99.4,-0.1902,-0.1044,-0.0116,113.1,63.2,4.72827238312207,4.59915211366253,4.14630430115281,14.6701913827879,14.7988616285195,13.7,36.2,2.61739583283408,3.58905911883173,93.0263746088511,100,100,699757,610518,13.3220630561277,13.4584884109004,1.15,5.1948051948052,0.884,100,-0.354383399330168,0.204545454545455,0.431818181818182,-0.0880412290582492,0.168674698795181,0.385542168674699,0.0358707557502738,0.046276013143483
"271",31080,6,"CA",2015,0.344494047619048,11.0863095238095,0.609427609427609,2688,31084,348,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach, CA","Los Angeles County","California",37,"Central","CA",2017,2,1,0,-2,1,0,5,29811427,33871648,5.8,4.9,12.2,41.6,0.1262,0.3184,0.431,77.8,26.3,4.35414143118435,3.72810016726722,3.26956893918372,17.2104023343509,17.3380888802385,36.2,15.3,3.58905911883173,2.72785282839839,86.4282206170548,84.2779542204455,84.0748794444053,2136022,1710318,14.3521898761018,14.5744557786347,0.87,12.2,0.969962790697674,NA,-0.151064944637543,0.220502466725438,NA,0.0241361005501369,0.192008582261458,NA,0.0284938844639792,NA
"272",31080,6,"CA",2016,0.326677067082683,10.1092043681747,0.704968944099379,3205,31084,348,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach, CA","Los Angeles County","California",37,"Central","CA",2017,2,1,0,-1,1,0,5,29811427,33871648,5.8,4.9,12.2,41.6,0.1262,0.3184,0.431,77.8,26.3,4.35414143118435,3.72810016726722,3.26956893918372,17.2104023343509,17.3380888802385,36.2,15.3,3.58905911883173,2.72785282839839,90.3683902101646,88.1200954819234,87.9787409233789,2136022,1710318,14.3521898761018,14.5744557786347,0.87,12.2,0.969962790697674,NA,-0.151064944637543,0.220502466725438,NA,0.0241361005501369,0.192008582261458,NA,0.0284938844639792,NA
"273",31080,6,"CA",2017,0.321886212198872,10.2511532547412,0.552763819095477,1951,31084,348,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach, CA","Los Angeles County","California",37,"Central","CA",2017,2,1,0,0,1,1,5,29811427,33871648,5.8,4.9,12.2,41.6,0.1262,0.3184,0.431,77.8,26.3,4.35414143118435,3.72810016726722,3.26956893918372,17.2104023343509,17.3380888802385,36.2,15.3,3.58905911883173,2.72785282839839,92.4060624737643,90.1070720564941,90.0284088772899,2136022,1710318,14.3521898761018,14.5744557786347,2.87,12.2,0.969962790697674,NA,-0.151064944637543,0.220502466725438,NA,0.0241361005501369,0.192008582261458,NA,0.0284938844639792,NA
"274",31080,6,"CA",2018,0.331746031746032,9.9047619047619,0.565916398713826,3150,31084,348,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach, CA","Los Angeles County","California",37,"Central","CA",2017,2,1,0,1,1,1,5,29811427,33871648,5.8,4.9,12.2,41.6,0.1262,0.3184,0.431,77.8,26.3,4.35414143118435,3.72810016726722,3.26956893918372,17.2104023343509,17.3380888802385,36.2,15.3,3.58905911883173,2.72785282839839,98.0407655158806,95.6015881027446,95.6174567319737,2136022,1710318,14.3521898761018,14.5744557786347,2.87,12.2,0.969962790697674,NA,-0.151064944637543,0.220502466725438,NA,0.0241361005501369,0.192008582261458,NA,0.0284938844639792,NA
